"Date","Forecast"
2024-08-23,4.9771512893247
2024-08-26,4.97703123597713
2024-08-27,4.97699597979101
2024-08-28,4.97749139953364
2024-08-29,4.97776239530668
2024-08-30,4.97763041760307
2024-09-02,4.97786802761032
2024-09-03,4.9782917110519
2024-09-04,4.97831895969857
2024-09-05,4.97835737704919
2024-09-06,4.97873039644493
2024-09-09,4.97894996890372
2024-09-10,4.97894905919379
2024-09-11,4.97917433329255
2024-09-12,4.97949110848063
2024-09-13,4.9795748909091
2024-09-16,4.97968052644099
2024-09-17,4.97997623981349
2024-09-18,4.98017150689959
2024-09-19,4.98024723393365
2024-09-20,4.98046036171581
2024-09-23,4.9807167480442
