"Date","Price","Forecast"
2024-07-30,20.2792,19.5699643880703
2024-07-31,20.1345,19.5675913782176
2024-08-01,20.3454,19.5652183725532
2024-08-02,20.9057,19.5628453666453
2024-08-05,21.1724,19.5604723604502
2024-08-06,21.3835,19.5580993542978
2024-08-07,21.0415,19.2401188289451
2024-08-08,20.5913,19.2375655561174
2024-08-09,20.5483,21.3285217226614
2024-08-12,20.8334,21.3534807843536
2024-08-13,20.8796,21.361125988205
2024-08-14,20.6805,21.3615383164691
2024-08-15,20.4486,21.3589964130199
2024-08-16,20.5474,21.3576394038378
2024-08-19,20.6802,21.3564314236062
2024-08-20,21.127,21.3551027221007
2024-08-21,21.4841,21.3537724531253
2024-08-22,21.534,21.3524531543089
