"Date","Price","Forecast"
2024-07-30,4.9727,4.97726893527617
2024-07-31,4.9725,4.97745192008174
2024-08-01,4.9724,4.97763560146128
2024-08-02,4.9723,4.97781933990489
2024-08-05,4.9735,4.97800284558046
2024-08-06,4.9745,4.9781863366726
2024-08-07,4.9738,4.9783699054621
2024-08-08,4.9743,4.97714505548911
2024-08-09,4.9747,4.97707323386436
2024-08-12,4.9744,4.97718014595278
2024-08-13,4.9727,4.97745408571032
2024-08-14,4.9736,4.97766488636247
2024-08-15,4.973,4.9778145230757
2024-08-16,4.9734,4.97798644289624
2024-08-19,4.9765,4.9781807521124
2024-08-20,4.9773,4.97836720507088
2024-08-21,4.9763,4.97854546523001
2024-08-22,4.9766,4.97872649228878
