"Date","Price","Forecast"
2024-07-30,3.3521,3.37475783114693
2024-07-31,3.346,3.3751727980376
2024-08-01,3.3452,3.37498038719498
2024-08-02,3.3843,3.37480327834494
2024-08-05,3.3708,3.37508764311489
2024-08-06,3.3739,3.37500965314755
2024-08-07,3.3747,3.36437731131658
2024-08-08,3.3733,3.36264044071897
2024-08-09,3.3734,3.36234245502499
2024-08-12,3.3613,3.36391372978997
2024-08-13,3.3839,3.36306805168518
2024-08-14,3.3587,3.36241322120008
2024-08-15,3.3527,3.36352867294043
2024-08-16,3.3762,3.36327707031481
2024-08-19,3.398,3.36257247280148
2024-08-20,3.3892,3.36325476195998
2024-08-21,3.3912,3.36334007260101
2024-08-22,3.3912,3.36274465650099
