"date","price_copper_LME"
"18. July 2024","9,342.00"
"17. July 2024","9,533.00"
"16. July 2024","9,565.50"
"15. July 2024","9,679.50"
"12. July 2024","9,673.00"
"11. July 2024","9,693.50"
"10. July 2024","9,696.00"
"09. July 2024","9,762.00"
"08. July 2024","9,808.00"
"05. July 2024","9,809.00"
"04. July 2024","9,726.50"
"03. July 2024","9,623.00"
"02. July 2024","9,546.50"
"01. July 2024","9,517.00"
"date","LME Copper Cash-Settlement"
"28. June 2024","9,476.50"
"27. June 2024","9,422.50"
"26. June 2024","9,420.00"
"25. June 2024","9,492.00"
"24. June 2024","9,530.00"
"21. June 2024","9,563.00"
"20. June 2024","9,648.00"
"19. June 2024","9,652.00"
"18. June 2024","9,426.00"
"17. June 2024","9,477.00"
"14. June 2024","9,650.00"
"13. June 2024","9,733.00"
"12. June 2024","9,697.50"
"11. June 2024","9,567.00"
"10. June 2024","9,694.50"
"07. June 2024","9,840.00"
"06. June 2024","9,930.00"
"05. June 2024","9,769.00"
"04. June 2024","9,858.50"
"03. June 2024","9,985.50"
"date","LME Copper Cash-Settlement"
"31. May 2024","9,985.00"
"30. May 2024","10,016.50"
"29. May 2024","10,294.00"
"28. May 2024","10,331.00"
"24. May 2024","10,256.50"
"23. May 2024","10,290.50"
"22. May 2024","10,447.00"
"21. May 2024","10,775.00"
"20. May 2024","10,857.00"
"17. May 2024","10,398.00"
"16. May 2024","10,308.00"
"15. May 2024","10,221.00"
"14. May 2024","10,077.00"
"13. May 2024","10,009.00"
"10. May 2024","9,942.00"
"09. May 2024","9,728.00"
"08. May 2024","9,740.00"
"07. May 2024","9,847.00"
"03. May 2024","9,737.00"
"02. May 2024","9,660.00"
"01. May 2024","9,791.00"
"date","LME Copper Cash-Settlement"
"30. April 2024","9,973.50"
"29. April 2024","9,935.00"
"26. April 2024","9,869.00"
"25. April 2024","9,791.00"
"24. April 2024","9,671.00"
"23. April 2024","9,599.00"
"22. April 2024","9,814.50"
"19. April 2024","9,749.00"
"18. April 2024","9,617.00"
"17. April 2024","9,434.00"
"16. April 2024","9,377.00"
"15. April 2024","9,390.00"
"12. April 2024","9,402.00"
"11. April 2024","9,240.50"
"10. April 2024","9,365.00"
"09. April 2024","9,295.50"
"08. April 2024","9,301.00"
"05. April 2024","9,198.00"
"04. April 2024","9,257.00"
"03. April 2024","8,932.00"
"02. April 2024","8,920.00"
"date","LME Copper Cash-Settlement"
"28. March 2024","8,729.00"
"27. March 2024","8,696.00"
"26. March 2024","8,764.00"
"25. March 2024","8,745.00"
"22. March 2024","8,741.00"
"21. March 2024","8,873.50"
"20. March 2024","8,790.00"
"19. March 2024","8,875.00"
"18. March 2024","8,973.00"
"15. March 2024","8,906.50"
"14. March 2024","8,791.50"
"13. March 2024","8,727.00"
"12. March 2024","8,566.00"
"11. March 2024","8,522.00"
"08. March 2024","8,552.50"
"07. March 2024","8,559.00"
"06. March 2024","8,441.00"
"05. March 2024","8,429.50"
"04. March 2024","8,437.00"
"01. March 2024","8,394.00"
"date","LME Copper Cash-Settlement"
"29. February 2024","8,389.00"
"28. February 2024","8,340.50"
"27. February 2024","8,396.50"
"26. February 2024","8,373.00"
"23. February 2024","8,442.50"
"22. February 2024","8,482.00"
"21. February 2024","8,472.00"
"20. February 2024","8,366.50"
"19. February 2024","8,364.50"
"16. February 2024","8,322.00"
"15. February 2024","8,153.00"
"14. February 2024","8,133.50"
"13. February 2024","8,185.00"
"12. February 2024","8,085.50"
"09. February 2024","8,091.50"
"08. February 2024","8,202.00"
"07. February 2024","8,280.50"
"06. February 2024","8,280.00"
"05. February 2024","8,329.00"
"02. February 2024","8,400.00"
"01. February 2024","8,437.00"
"date","LME Copper Cash-Settlement"
"31. January 2024","8,513.00"
"30. January 2024","8,462.00"
"29. January 2024","8,421.00"
"26. January 2024","8,447.00"
"25. January 2024","8,486.00"
"24. January 2024","8,460.00"
"23. January 2024","8,283.50"
"22. January 2024","8,254.50"
"19. January 2024","8,275.00"
"18. January 2024","8,189.00"
"17. January 2024","8,230.00"
"16. January 2024","8,280.00"
"15. January 2024","8,238.50"
"12. January 2024","8,289.00"
"11. January 2024","8,332.00"
"10. January 2024","8,285.00"
"09. January 2024","8,301.50"
"08. January 2024","8,295.00"
"05. January 2024","8,346.50"
"04. January 2024","8,375.00"
"03. January 2024","8,381.00"
"02. January 2024","8,430.00"
2024-07-18,"9,342.00","9,485.00","227,425"
2024-07-17,"9,533.00","9,682.00","221,100"
2024-07-16,"9,565.50","9,724.00","216,475"
2024-07-15,"9,679.50","9,833.00","210,325"
2024-07-12,"9,673.00","9,821.50","206,225"
2024-07-11,"9,693.50","9,860.00","206,775"
2024-07-10,"9,696.00","9,859.00","195,475"
2024-07-09,"9,762.00","9,925.00","191,025"
2024-07-08,"9,808.00","9,971.50","191,475"
2024-07-05,"9,809.00","9,970.00","191,625"
2024-07-04,"9,726.50","9,871.00","186,275"
2024-07-03,"9,623.00","9,769.00","186,450"
2024-07-02,"9,546.50","9,695.00","184,475"
2024-07-01,"9,517.00","9,661.00","180,050"
NA,"LME Copper Cash-Settlement","LME Copper 3-month","LME Copper stock"
2024-06-28,"9,476.50","9,625.00","180,125"
2024-06-27,"9,422.50","9,563.00","177,750"
2024-06-26,"9,420.00","9,569.00","175,475"
2024-06-25,"9,492.00","9,645.00","172,850"
2024-06-24,"9,530.00","9,677.00","167,825"
2024-06-21,"9,563.00","9,705.00","165,175"
2024-06-20,"9,648.00","9,790.00","161,925"
2024-06-19,"9,652.00","9,795.00","158,700"
2024-06-18,"9,426.00","9,575.00","155,850"
2024-06-17,"9,477.00","9,615.00","136,675"
2024-06-14,"9,650.00","9,781.00","133,925"
